Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-07-01),Price Override,Watchlist,Date Added,Notes
30th Vintage,Pokemon,Aquapolis,Lugia,149,Secret Rare,Holofoil,Ungraded,Near Mint,0,1,"4,051.73",0,false,2026-06-27,
30th Vintage,Pokemon,Base Set (Unlimited),Charizard,4,Holo Rare,Holofoil,TAG 10.0 Pristine,Near Mint,0,1,0,0,false,2026-07-01,
30th Vintage,Pokemon,Base Set (Unlimited),Charizard,4,Holo Rare,Holofoil,Ungraded,Near Mint,0,1,974.76,0,false,2026-06-27,
30th Vintage,Pokemon,Base Set (Unlimited),Pikachu,58,Common,Normal,Ungraded,Near Mint,0,1,10.58,0,false,2026-06-27,
30th Vintage,Pokemon,BREAKpoint,Greninja BREAK,41,Rare BREAK,Holofoil,Ungraded,Near Mint,0,1,51.03,0,false,2026-06-27,
30th Vintage,Pokemon,Brilliant Stars,Arceus VSTAR,123/172,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,8.12,0,false,2026-06-27,
30th Vintage,Pokemon,Crimson Invasion,Buzzwole GX,57/111,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,6.16,0,false,2026-06-27,
30th Vintage,Pokemon,Dragons Exalted,Rayquaza EX,85,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,50.39,0,false,2026-06-27,
30th Vintage,Pokemon,EX Delta Species,Metagross (Delta Species),11,Holo Rare,Holofoil,Ungraded,Near Mint,0,1,90.99,0,false,2026-06-27,
30th Vintage,Pokemon,EX Holon Phantoms,Pikachu Gold Star,104,Ultra Rare,Holofoil,PSA 10.0 GEM - MT,Near Mint,0,1,"252,962.07",0,false,2026-07-01,
30th Vintage,Pokemon,EX Ruby & Sapphire,Delcatty,5,Holo Rare,Holofoil,Ungraded,Near Mint,0,1,46.49,0,false,2026-06-27,
30th Vintage,Pokemon,EX Team Rocket Returns,Dark Tyranitar (19),19,Rare,Normal,Ungraded,Near Mint,0,1,82.87,0,false,2026-06-27,
30th Vintage,Pokemon,EX Unseen Forces,Scizor ex,108/115,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,361.36,0,false,2026-06-27,
30th Vintage,Pokemon,Fusion Strike,Mew VMAX,114/264,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,32,0,false,2026-06-27,
30th Vintage,Pokemon,Great Encounters,Palkia Lv.X,106,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,242.12,0,false,2026-06-27,
30th Vintage,Pokemon,Gym Heroes,Erika's Clefairy,25,Rare,1st Edition,Ungraded,Near Mint,0,1,31.9,0,false,2026-06-27,
30th Vintage,Pokemon,Gym Heroes,Misty (18),18,Holo Rare,Unlimited Holofoil,Ungraded,Near Mint,0,1,93.58,0,false,2026-06-27,
30th Vintage,Pokemon,Legends Awakened,Uxie Lv.X,146,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,134.75,0,false,2026-06-27,
30th Vintage,Pokemon,Neo Destiny,Shining Celebi,106,Secret Rare,1st Edition Holofoil,Ungraded,Near Mint,0,1,896.21,0,false,2026-06-27,
30th Vintage,Pokemon,Neo Genesis,Sneasel,25,Rare,1st Edition,Ungraded,Near Mint,0,1,21.7,0,false,2026-06-27,
30th Vintage,Pokemon,Noble Victories,N (Supporter) (Full Art),101,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,330.28,0,false,2026-06-27,
30th Vintage,Pokemon,Paldea Evolved,Magikarp,203/193,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,617.79,0,false,2026-06-27,
30th Vintage,Pokemon,Plasma Blast,Genesect EX (Team Plasma),11,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,32.54,0,false,2026-06-27,
30th Vintage,Pokemon,Platinum,Crobat G,47,Uncommon,Normal,Ungraded,Near Mint,0,1,4.91,0,false,2026-06-27,
30th Vintage,Pokemon,Primal Clash,M Gardevoir EX,106,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,38.19,0,false,2026-06-27,
30th Vintage,Pokemon,Sun & Moon Base Set,Solgaleo GX,89,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,4.22,0,false,2026-06-27,
30th Vintage,Pokemon,Sword & Shield Base Set,Zacian V,138/202,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,1.88,0,false,2026-06-27,
30th Vintage,Pokemon,Team Up,Pikachu & Zekrom GX,33,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,120.47,0,false,2026-06-27,
30th Vintage,Pokemon,Triumphant,Darkrai & Cresselia Legend (Bottom),100,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,201.91,0,false,2026-06-27,
30th Vintage,Pokemon,Triumphant,Darkrai & Cresselia Legend (Top),99,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,269.4,0,false,2026-06-27,
30th Vintage,Pokemon,Triumphant,Gengar (Prime),94,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,656.44,0,false,2026-06-27,
30th Vintage,Pokemon,Triumphant,Gengar (Prime),94,Ultra Rare,Holofoil,BGS 10.0 Black Label,Near Mint,0,1,0,0,false,2026-07-01,
30th Vintage,Pokemon,Vivid Voltage,Raikou,050/185,Amazing Rare,Holofoil,Ungraded,Near Mint,0,1,7.96,0,false,2026-06-27,
